,t_set,f_occ,t_i,V_g,t_e,leave,leave_fwb,t_set_default,f_occ_pred,t_e_air,hhv,gamma_s_deg,h_s_deg,theta_z_deg,I_th,I_bh,t_e_we
2022-11-01 12:30:00,12.0,0.0,20.013,0.0,19.245,1.0,1,12.0,0,16.78570570703,11.597859933333336,17.94655064705575,22.440366350803984,67.55963364919602,307.94666666666666,210.54222222222225,15.516500000000008
2022-11-01 12:45:00,12.0,0.0,20.014,0.0,18.94,1.0,1,12.0,0,16.798120913130784,11.597859933333336,21.75092718184418,21.629594028746,68.370405971254,288.1066666666667,190.50222222222223,15.473807500000008
2022-11-01 13:00:00,12.0,0.0,20.012,0.0,18.33,1.0,1,12.0,0,16.806750887002153,11.597859933333336,25.492824315442046,20.67338265991293,69.32661734008707,268.26666666666665,170.46222222222224,15.431115000000004
2022-11-01 13:15:00,12.0,0.0,19.945,0.0,18.267,1.0,1,12.0,0,16.810675646319552,11.597859933333336,29.16578999313116,19.57829461966665,70.42170538033335,248.42666666666668,150.42222222222222,15.388422500000004
2022-11-01 13:30:00,12.0,0.0,19.945,0.0,18.024,1.0,1,12.0,0,16.808964556284202,11.597859933333336,32.76515933168871,18.351443391431943,71.64855660856806,228.58666666666667,130.38222222222225,15.345730000000003
2022-11-01 13:45:00,12.0,0.0,19.945,0.0,17.962,1.0,1,12.0,0,16.730358768355785,11.597859933333336,36.28802079584226,17.00032782790855,72.99967217209145,210.04,120.60444444444444,15.217465000000004
2022-11-01 14:00:00,12.0,0.0,19.945,0.0,17.594,1.0,1,12.0,0,16.64599523425319,11.597859933333336,39.7331227350634,15.532680111867478,74.46731988813252,191.4933333333333,110.82666666666668,15.089200000000003
2022-11-01 14:15:00,12.0,0.0,19.945,0.0,17.412,1.0,1,12.0,0,16.55574590147681,11.597859933333336,43.10073808417116,13.956332476873328,76.04366752312667,172.94666666666666,101.04888888888888,14.960935000000006
2022-11-01 14:30:00,12.0,0.0,19.877,0.0,17.29,1.0,1,12.0,0,16.45946468950691,11.597859933333336,46.39250449005168,12.279105532358187,77.72089446764181,154.4,91.27111111111113,14.832670000000007
2022-11-01 14:45:00,12.0,0.0,19.878,0.0,17.108,1.0,1,12.0,0,16.313656941918453,11.597859933333336,49.61125504521987,10.50871913107477,79.49128086892523,126.35111111111112,72.76444444444445,14.640622500000006
2022-11-01 15:00:00,12.0,0.0,19.878,0.0,16.984,1.0,1,12.0,0,16.161646423132577,11.597859933333336,52.76085189557223,8.652725241406571,81.34727475859343,98.30222222222224,54.257777777777775,14.448575000000003
2022-11-01 15:15:00,12.0,0.0,19.877,0.0,16.743,1.0,1,12.0,0,16.00446753889183,11.597859933333336,55.84603184142156,6.718461271684106,83.2815387283159,70.25333333333333,35.75111111111111,14.256527500000004
2022-11-01 15:30:00,12.0,0.0,19.861,0.0,16.437,1.0,1,12.0,0,15.84253984925,11.597859933333336,58.87227009762629,4.713021700832584,85.28697829916742,42.20444444444445,17.244444444444444,14.064480000000003
2022-11-01 15:45:00,12.0,0.0,19.81,0.0,16.133,1.0,1,12.0,0,15.724336023660673,11.597859933333336,61.84566587139923,2.643245626495755,87.35675437350424,31.742222222222225,12.937777777777775,13.935510000000008
